Key,Description,Standard
SAY.Flowchart.100.警察,,Ó! Nǐ hǎo! Huānyíng nǐ dào shànghǎi.
SAY.Flowchart.102.警察,,Wèi......... Ā. Míngbáile. Wǒ mǎshàng jiù lái. Zàijiàn.
SAY.Flowchart.103.警察,,Zhēn bù hǎoyìsi! Wǒ déi zǒule. Zàijiàn!\n
SAY.Flowchart.105.,,"Well, that was weird. Who is she anyway? And why did she greet me right as I got off the airport? "
SAY.Flowchart.112.,,"I suddenly feel like I'm STARVING, but luckily I see a KFC ahead. I decide to get in line and listen to people make their orders."
SAY.Flowchart.121.,,"Hmm... considering I'll probably have to order in Chinese, it's probably best to really pay attention to how it's done. I can do this! "
SAY.Flowchart.98.警察,,Shénme? The cop gives me a confused look. 
SAY.Flowchart.87.警察,,Wǒ jiào Lily.
SAY.Flowchart.109.警察,,No English. 
SAY.Flowchart.115.KFC customer,,Lái yīgè pài.
SAY.Flowchart.116.,,"After ordering, the customer walks away happily with a weird looking ""pie"" in his hand. "
SAY.Flowchart.117.KFC customer,,Lái yīgè shǔ tiáo. 
SAY.Flowchart.118.,,The customer happily walks away with some french fries... 
SAY.Flowchart.119.KFC customer,,Lái yīgè bīngqílín.
SAY.Flowchart.120.,,"The customer skips away, happily eating ice cream!"
SAY.Flowchart.191.,,"After hearing the three customers ahead of me order, I walk up to the counter..."
SAY.Flowchart.124.KFC Employee,,Nǐ hǎo. (He seems to be waiting for your order). 
SAY.Flowchart.199.,,Hmm... let's see. What do I want to eat? 
MENU.Flowchart.144,,Recall what other people ordered.
MENU.Flowchart.139,,Lái yīgè bīngqílín
MENU.Flowchart.142,,Lái yīgè pài
MENU.Flowchart.143,,lái yīgè shǔ tiáo
MENU.Flowchart.145,,"Can I just have some french fries, please!? "
SAY.Flowchart.155.KFC Employee,,Lái yīgè bīngqílín!!
SAY.Flowchart.156.,,"The cash register shows 7. That must be the price of the meal. I guess I'll pay for the meal with the RMB I exchanged for prior to my trip. Hopefully, I'm not doing anything too wrong yet! "
SAY.Flowchart.157.,,"After I pay for the ice cream, the employee hands me the ice cream. It looks delicious and I quickly finish it. I'm still starving, but I guess I feel a little better than before."
SAY.Flowchart.177.,, Maybe I should have gotten the pie or french fries? 
SAY.Flowchart.178.,,"Anyway, I'd rather not butcher the language anymore for today and I decide to head over to the taxi stand to hopefully get to my new living space. "
SAY.Flowchart.152.KFC Employee,,Lái yīgè pài!!
SAY.Flowchart.153.,,"The cash register shows 8. That must be the price of the meal. I guess I'll pay for the meal with the RMB I exchanged for prior to my trip. Hopefully, I'm not doing anything too wrong yet! "
SAY.Flowchart.154.,,"After the exchange, my pie comes out nice and warm. Nobody from where I'm from would exactly call this a pie, but it should be interesting! \n\n"
SAY.Flowchart.179.,,"I decide to take a bite, only to realize that there's some kind of sweet bean inside. Totally was not expecting that! A warm welcome to me to China, I suppose! "
SAY.Flowchart.180.,,I decide to head over to the taxi stand to hopefully find a way to my new living space. 
SAY.Flowchart.149.KFC Employee,,Lái yīgè shǔ tiáo!!
SAY.Flowchart.150.,,"The cash register shows 15. That must be the price of the meal. I guess I'll pay for the meal with the RMB I exchanged for prior to my trip. Hopefully, I'm not doing anything too wrong yet! "
SAY.Flowchart.151.,,"After the exchange, my fries come out nice and hot, and I head over to the taxi stand to hopefully get to my new living space. "
SAY.Flowchart.147.KFC Employee,,"Shénme? A, bù hǎoyìsi, wǒ bù dǒng yīngwén. No English."
SAY.Flowchart.165.,,"Looks like there's a long line for taxis, but at least it's moving quickly... "
SAY.Flowchart.166.,,"Within 5 minutes, I'm at the front of the line and a security officer points me in the direction of a taxi. As a I get in the taxi, I hand the taxi driver my address. "
SAY.Flowchart.188.,,"He nods, hands the paper back, and begins driving off. "
SAY.Flowchart.167.,,"Tired from the long flight ride and my immersion into this brand new world, I begin to doze off... "
SAY.Flowchart.170.,,"As I slowly wake up. I realize that I've already arrived at the apartment. I pay the taxi driver the amount listed on the meter, 236 RMB and proceed up the elevator. \n "
SAY.Flowchart.171.,,"I unlock the door, hit the bed, and fall asleep. "
CHARACTER.Character Name,,Character Name
CHARACTER.警察,,警察
CHARACTER.Red Bean Pie,,Red Bean Pie
CHARACTER.KFC Employee,,KFC Employee
CHARACTER.KFC customer,Orders KFC Food,KFC customer
CHARACTER.French Fries,,French Fries
